Name,Address,PhoneNumber,Website,Email
Mahathma Gandhi Memorial En..,"Main Road, Gudihatnoor, ADILABAD - 504308",-9975958852,,
Little Star High School,"Shanti Nagar, Adilabad - 504001",-947620297,,
Goutham Model School,Adilabad - 504001,-9274389382,http://www.gowtham.org,Info@gowtham.org
Sri Balaji Vidya Mandir,"Sri Balaji Vidya Mandir, Dasnapur, ADILABAD - 504001",-9939504943,,
Mpps Lingatla School,"Ne 2, Lingatla, Adilabad - 504323",-9470026937,,
ZPSS School,"1, Pembi, Adilabad - 504203",-8793331035,,
Holy Faith Convent School,"Vidyanagar, Khanapur, Adilabad - 504203",-9667424860,,
Badampelli Gramapanchayathi,"Badampally, Adilabad - 504205",-9468518131,,
Ghs Old School,"11 Ward, Sirpur, Sirpur Kaghaznagar, Adilabad - 504296",-999166727,,
Srk English Medium School,"Rama Krishnapuram Road, B Zone, Ramakrishnapur, Adilabad - 504301",-9915398932,,
Sharada Public School,"Nr. Railway Station, Adilabad - 504101, Railway Station",-87513127228,,
Hamsavahini School,"Borraganesh, Basar, Adilabad - 504101",-9943362988,,
Saraswathi Sishu Mandir Sch..,Adilabad - 504001,-87322437263,,
Jawahar Navodaya Vidyalaya ..,"Trishul Pahad, Sirpur Kagaznagar, Adilabad - 504296",-87327078158,http://www.jnvadilabad.gov.in,info@rcsindia.co.in
Kendriya Vidyalaya,"Old Dm House, Adilabad - 504001, Nirmithi Kendram",-87340691623,http://www.kvadilabad.org,info@rcsindia.co.in
Suahmitha,"Basar, Adilabad - 504101",-9550266198,,
Abhyudaya High School,"Door No 1-41, Adilabad - 504001, Pipparwada, Beside NH7",-87388275488,,
Al Falah Islamic School,"Bhuktapur, Adilabad - 504001",-9083826183,,
Benny Driving School,"Road, Maharashtra, Sonala, Adilabad - 504304",-993587093,,
Gnana Saraswathi Primary Sc..,"Narayanpur, Adilabad - 504292",-997609158,,
Sai Goud,"Chinnur, Chinnoor, Adilabad - 504201",-9829409166,http://saipolu555.wixsite.com/,
Srujana High School,"Kuntala, Adilabad - 504109",-9622743256,,
Chavara Academy,Adilabad - 504001,-9419307037,http://www.chavaraacademycbse.com,chavaraacademy@gmail.com
Naunehal Urdu High School,"Putli Bowli, Adilabad - 504001, Fatima Gulshan Colony",-9425410667,,
Kendriya Vidyalaya,"CCI Township, Adilabad - 504001",-87399185310,,
St Joseph Convent School,Adilabad - 504001,-9035961404,,
Sun Shine School,"Ootnur, Adilabad - 504311",-8364529669,,
C.ram Reddy M.school,"Ravindra Nagar, Adilabad - 504209",-9836453172,,
Smart School,"Adilabad - 504001, Beside New Bus Stand Adilabad",-8098324916,,
Sri Sarswathi Gnana Vidyala..,Adilabad - 504001,-9448164393,,
Darsgah-E-Islami,"Nethaji Chowk, Colony, Hameed Pura, Adilabad - 504001, Beside Madina Masjid",-9526793366,,
Al-Falah International Scho..,"6-7-72/34/4, Near Phule Chowk, Bhuktapur, Adilabad - 504001",-7525007329,,
Tagore Public School,"Dasnapur, Sapthagiri Colony, Chaitanyapuri, Adilabad - 504001",-8727554909,,
Sri Satya Sai Vidyanikethan,"Bhattisavargaon, Adilabad - 504001",-9978900258,http://www.satyasai.com/,
"Zpss Boys , Zpss Boys A- Zo..","Adilabad - 504001, Ramkrishnapur",-87394098854,,
Zpss High School,"Yapalguda, Adilabad - 504001",-7977907822,,
Sri Vani Shishu Vidya Mande..,"Gudihatnur, Gudihatnoor, Adilabad - 504308",-9915587988,,
Excellent English Medium Sc..,"Ichoda, Adilabad - 504307",-9018559566,,
Exlent School English Media..,"Ichoda, Adilabad - 504307",-9611482086,,
TS Residential Girls Hostel,"Boath Buzurg, Adilabad - 504304",-8054245171,,
Sgv School,"Boyawada, Sevadas Nagar, Utnoor, Ootnur, Adilabad - 504311",-8195914496,,
Pune Spoken English And Com..,"Utnoor, Utnur Road, Ootnur, Adilabad - 504311",-725717066,,
Rainbow Public School,"Neredgonda, Neradigonda, Adilabad - 504323",-9614893900,,
little hans high school,"vinayak nagar, Jannaram, Adilabad - 504205, tiger reserve marg",-87381414277,,
Sri Saraswathi Shishumandir,"Narsapur, Adilabad - 504104",-8714491667,http://sri-saraswathi-shishumandir-narsapurg.business.site/,.@.null
Govt High School Kishtapur,"Kishtapur, Adilabad - 504205",-9480038935,,
Islamia Model High School,"New Abadi, Bhainsa, Adilabad - 504103",-943717717,http://ismh.com/,
Vasavi Space High School,"Vasavi Space High School, Narsimha Nagar, Bhainsa, ADILABAD - 504103, Bhainsa",-9861718613,,
Wings School Of Excellence,"Bhainsa, Adilabad - 504103, Madina Colony",-9657620978,,
Anganwadi School,"Vitholi, Adilabad - 504102",-7044518208,,
Saraswathi Gnana Mandir,"Sirpur Kaghaznagar, Adilabad - 504296",-9718775870,,
Fatima Convent High School,"Teachers Lane,Eidga Colony Road,Kaghaznagar, Sirpur Kaghaznagar, Adilabad - 504296",-956300847,,
Ups School Chinnagudipet,"Thangallapalle, Adilabad - 504273",-9675605897,,
Pragathi Vidya Mandir Schoo..,"Telangana, Nagarjuna Colony, Bhagath Singh Nagar, Ramakrishnapur, Adilabad - 504301",-9859785947,,
Srilaxmi Shishu Mandir,"Mancherial, Srirampur Colony, Adilabad - 504303",-9747635668,,
S R Digi School,"Teachers Colony, Adilabad - 504001",-8852695909,http://www.srdigischool.com/,vizag@srdigischool.com
Vyshnavi Model School,"Sanjay Nagar, Adilabad - 504001, Near Panchamuki Hanuman Temple",-9946780317,,
Mothers Care Techno High Sc..,"Near Masood Chowk, Masood Chowk, Adilabad - 504001, Beside Deo Office",-87366846683,,
Mothers Care Techno High Sc..,"Masood Chowk, Adilabad - 504001, Near Masood Chowk",-9526335642,,
Bharathi School,"Khanapur, Adilabad - 504203",-9065974392,,
Vidyadhari High School,"Sirpur Kaghaznagar, Adilabad - 504296",-9414013833,,
Artificial Intelligence Sch..,"Srirampur Colony, Adilabad - 504303",-9993612408,,
Sri Saraswathi Shishu Mandi..,"Vinayak Chowk, Adilabad - 504001",-9440552873,,
Mothers Care School,Adilabad - 504001,-9788254756,,
Yuva Sangathan School,"Post Office Road Bellampally, Bela, Adilabad - 504309",-8736152103,,
Sri Sevadas Vidyamandir,"Mandal Bikaner, District Adilabad, Asifabad Road, Hasnapur, Adilabad - 504311",-9682769591,,
School Mpps,"Jhari Buzurg, Adilabad - 504102",-8167466462,,
Vip Concept School,"4 Village No.1, Easgaon, Adilabad - 504296",-9439494466,,
Neo Kids School,"Mcc Mancherial, Patha Mancherial, Adilabad - 504209",-9950602444,,
C.Ram Reddy M. School,"Ravindranagar, Adilabad - 504299",-9957917230,,
Sri. Krishnaveni Talent Sch..,"Teachers Colony, Adilabad - 504001",-87324892398,,
A.P. Tribal Welfare Residen..,"Behind Collector Bungalow,, Adilabad - 504001",-9966840738,,
C Rr Memorial School,"H No 11-5, Old Dasnapur, Adilabad - 504001",-9897645576,,
Zilla Parishad Secondary Sc..,"Tiryani, Adilabad - 504297",-7345565158,,
Bachpan A Play School,"House no.4-7-362,, Vidya Nagar, Adilabad - 504001, Lane Beside R & B Guest House",-7787519389,http://www.bachpanglobal.com,
Crr Memorial High School,"Mavala, Adilabad - 504001, Dasnapur, Gp",-87396298662,,
Adilabad St Joseph High Sch..,"Barodia, Adilabad - 504312",-7739289326,,
Keerthana Degree College,"Bela, Adilabad - 504309",-8790224044,,
Mandal Parishad Primary Sch..,"Ambedkar Nagar Colony, Khanapur, Adilabad - 504203",-819028947,,
Sanskar Kids School,"Umri, Maharashtra, Adilabad - 504102",-9186238742,,
Success School,"Myadaripet, Adilabad - 504206",-9662191299,,
Government High School,"Easgoan Village No 12, Kumaram Bheem, Sirpur Kaghaznagar, Adilabad - 504296",-8889343347,,
S R School,"Sirpur, Sirpur T, Adilabad - 504299",-9849607006,http://www.srdigischool.com/,vizag@srdigischool.com
C.M.P.School,"Chinnoor, Adilabad - 504201",-87343208033,,
C Ramreddy Memorial School,"ADILABAD - 504001, Ravindra Nagar",-9252605675,,
Vedam School,"Boath, Adilabad - 504304",-9521712638,,
Z.P.S.S High School,"Bapparam, Adilabad - 504105",-996217526,,
Krishnaveni Degree College,"47107, Vidya Nagar, Adilabad - 504001",-9941648937,,
Abhyasa Gurukulam,Adilabad - 504001,-9878548236,,
Mpups Yellapatar,"Yellapatar, Adilabad - 504313",-9471530996,,
Rising Sun English Medium S..,"Chinnur, Adilabad - 504201",-9451688704,,
Mothers Care High School,"sathnal road, Masood Chowk, Adilabad - 504001",-87369470976,,
Sri Gopala Krishna Vidya Ma..,"School Building, Vinayak Chowk, Adilabad - 504001, Near Vidyarthi College Road",-87399059572,,
Pragathi Shool,"Echoda, Adilabad - 504307",-9898544614,,
Telangana Minority Resident..,"Mudhole, Adilabad - 504102",-7967372386,,
Pragathi Vedyalayam,"Adilabad - 504001, Shanthi Nagar",-7399210502,,
Little Star High School,Adilabad - 504001,-87337922406,,
Anganwadi Center,Adilabad - 504220,-8032187208,http://tspsc.govt.in/,
Ts Model School,"Kuntala, Adilabad - 504109",-9926750747,,
Ushodaya High School,Adilabad - 504001,-9881928866,,
St Joseph High School,"Sirpur T, Adilabad - 504299",-8736821886,,
Sun Shine High School,"Sevadas Nagar, Utnoor, Ootnur, Adilabad - 504311",-9468556949,,
Government High School,"Vidyanagar, Vidynagar, Vidya Nagar, Hubali-Dharwad, Adilabad - 504203",-991239791,,
Vidyarthi High School,Adilabad - 504001,-9819008877,,
Mother Care Techno School,"Masood Chowk, Adilabad - 504001, Beside Deo Office Masood Chowk",-9530038148,,
A P Social Welfare Resident..,"A P S W R S / J C Boys, Mudhole, Adilabad - 504001",-87366525349,,
Little Bird High School,"Little Bird High School, Teachers Colony, ADILABAD - 504001",-9961679895,,
Balaji High School,"Dasnpapoor, ADILABAD - 504001, Near Hospital",-9973893872,,
KGBV,"Talamadugu, Adilabad - 504312, Lingi",-87382830161,,
Chaitanya School,"Indervelli, Adilabad - 504346",-9689232607,,
Vignan High School,"Bela, Adilabad - 504309",-9419908866,,
Vivekananda Junior And Degr..,"Vidhya Nagar, Ichoda, Ichoda Main Road, Adilabad - 504307",-8548952748,,
Sri Pulaji Baba School,"Ootnur, Adilabad - 504311",-9465231124,,
Chaitanya Junior College,"I.B.Chowrasta, Utnoor, Ootnur, Adilabad - 504311",-8718086303,http://srichaitanya.net/,webmaster@srichaitanya.net
Jeeyar Gurukulam,"Allampally, Adilabad - 504205",-9040425438,http://schools.vtsbharath.org/about-allampally/,contact@vtsbharath.org
Shivani Public School,"C/O Shivani Public School, Narsimha Nagar, Bhainsa, ADILABAD - 504103, Bhainsa",-9489574906,,
Prathyusha Convent School,"Hno 1-3-160, Indra Market, Sirpur Kaghaznagar, ADILABAD - 504296",-87385761064,,
A P Social Welfare Resident..,"A P S W R S / J C Boys, Sirput - T, Sirpur Kaghaznagar, Adilabad - 504296",-87336380073,,
Carmelgiri Convent High Sch..,"Devapur Cement Works, Adilabad - 504218",-87355049713,http://www.carmeldevapur.com,
